What's your gender?,Which best describes your household?,Which state do you live in,Which type of food do you prefer?,Which best describes your exercise regime?,What's your usual mode of transport to work?,When do you normally get to work?,Which do you prefer: heavy metal or classical?,Which of the following did you buy in the past 2 years? (click all that apply),What's your age range?
Male,I live with my family.,DC,Steak,Keep fit through yoga and jogging.,Walk or bike,9:00:00 AM,Heavy metal / rock,,
Female,I live by myself or with housemates.,DC,Mexican,Keep fit through jogging or gym.,Walk or bike,7:30:00 AM,Classical music,Theater tickets,35-44
Male,I live by myself or with housemates.,DC,Home cooking,Keep fit through jogging or gym.,Train,9:30:00 AM,Classical music,Theater tickets,25-34
Male,I live with my family.,DC,Home cooking,Keep fit through jogging or gym.,Walk or bike,9:00:00 AM,Classical music,"Gardening or home improvement gear, Bluetooth speaker / headphones, Dog food / cat food, Theater tickets",35-44
Female,I live by myself or with housemates.,DC,Home cooking,Keep fit through jogging or gym.,Walk or bike,8:30:00 AM,Classical music,"Gardening or home improvement gear, Bluetooth speaker / headphones, Yoga mat, Theater tickets",25-34
Male,I live with my family.,DC,Mexican,I play team sports / run races.,Walk or bike,9:00:00 AM,Heavy metal / rock,Bluetooth speaker / headphones,25-34
Female,I live with my family.,Virginia,Home cooking,Keep fit through jogging or gym.,Train,9:00:00 AM,Heavy metal / rock,"Bluetooth speaker / headphones, Yoga mat",25-34
Female,I live with my family.,DC,Home cooking,Keep fit through jogging or gym.,Walk or bike,9:00:00 AM,Classical music,"Gardening or home improvement gear, Theater tickets",35-44
Female,I live with my family.,Maryland,Sushi,Keep fit through jogging or gym.,Train,8:20:00 AM,Classical music,Yoga mat,25-34
Female,I live by myself or with housemates.,DC,Home cooking,Keep fit through jogging or gym.,Walk or bike,9:30:00 AM,Classical music,"Yoga mat, Theater tickets",25-34
Female,I live by myself or with housemates.,DC,Vegetarian,Keep fit through jogging or gym.,Walk or bike,9:30:00 AM,Heavy metal / rock,"Gardening or home improvement gear, Bluetooth speaker / headphones, Dog food / cat food, Yoga mat, Theater tickets",25-34
Female,I live with my family.,Virginia,Sushi,Netflix is my most strenuous exercise.,Train,9:30:00 AM,Heavy metal / rock,"Gardening or home improvement gear, Bluetooth speaker / headphones, Dog food / cat food, Presents for my kids, Theater tickets",35-44
Male,I live with my family.,Maryland,Home cooking,Keep fit through jogging or gym.,Train,9:45:00 AM,Heavy metal / rock,"Gardening or home improvement gear, Presents for my kids, Theater tickets",35-44
Male,I live by myself or with housemates.,DC,Home cooking,Keep fit through jogging or gym.,Train,8:30:00 AM,Heavy metal / rock,"Gardening or home improvement gear, Bluetooth speaker / headphones, Yoga mat, Presents for my kids, Theater tickets",55+
Male,I live with my family.,Virginia,Home cooking,Keep fit through jogging or gym.,Train,9:00:00 AM,Classical music,"Gardening or home improvement gear, Bluetooth speaker / headphones, Presents for my kids, Theater tickets",45-54
Female,I live by myself or with housemates.,DC,Sushi,I play team sports / run races.,Walk or bike,8:00:00 AM,Heavy metal / rock,"Bluetooth speaker / headphones, Yoga mat, Theater tickets",25-34
Female,I live with my family.,DC,Sushi,Keep fit through jogging or gym.,Walk or bike,9:00:00 AM,Classical music,"Yoga mat, Theater tickets",25-34
Female,I live with my family.,DC,Mexican,I play team sports / run races.,Walk or bike,8:30:00 AM,Heavy metal / rock,"Gardening or home improvement gear, Presents for my kids, Theater tickets",25-34
Female,I live by myself or with housemates.,DC,Home cooking,Netflix is my most strenuous exercise.,Walk or bike,11:00:00 AM,Classical music,Gardening or home improvement gear,25-34
Male,I live with my family.,DC,Sushi,Keep fit through jogging or gym.,Walk or bike,8:00:00 AM,Classical music,Gardening or home improvement gear,35-44
Female,I live by myself or with housemates.,DC,Home cooking,Keep fit through jogging or gym.,Walk or bike,10:00:00 AM,Heavy metal / rock,"Bluetooth speaker / headphones, Theater tickets",35-44
Female,I live with my family.,Virginia,Vegetarian,Keep fit through jogging or gym.,Car,9:00:00 AM,Classical music,"Bluetooth speaker / headphones, Yoga mat, Presents for my kids, Theater tickets",35-44
Male,I live with my family.,Maryland,Steak,I play team sports / run races.,Train,8:00:00 AM,Classical music,"Bluetooth speaker / headphones, Presents for my kids, Theater tickets",35-44
Female,I live with my family.,DC,Sushi,Keep fit through jogging or gym.,Walk or bike,9:00:00 AM,Heavy metal / rock,"Bluetooth speaker / headphones, Presents for my kids, Theater tickets",25-34
Male,I live with my family.,DC,Home cooking,I play team sports / run races.,Walk or bike,9:30:00 AM,Classical music,"Gardening or home improvement gear, Presents for my kids",35-44
Female,I live by myself or with housemates.,Virginia,Home cooking,Keep fit through jogging or gym.,Train,8:30:00 AM,Classical music,Theater tickets,35-44
Male,I live by myself or with housemates.,DC,Home cooking,Keep fit through jogging or gym.,Walk or bike,8:45:00 AM,Heavy metal / rock,"Gardening or home improvement gear, Bluetooth speaker / headphones, Dog food / cat food, Yoga mat, Presents for my kids, Theater tickets",45-54
Female,I live by myself or with housemates.,Virginia,Home cooking,Keep fit through jogging or gym.,Train,9:00:00 AM,Classical music,Gardening or home improvement gear,35-44
Female,I live with my family.,Virginia,Home cooking,Netflix is my most strenuous exercise.,Train,10:30:00 AM,Classical music,"Bluetooth speaker / headphones, Presents for my kids, Theater tickets",35-44
Female,I live by myself or with housemates.,DC,Sushi,Keep fit through jogging or gym.,Walk or bike,9:00:00 AM,Heavy metal / rock,"Bluetooth speaker / headphones, Yoga mat, Theater tickets",25-34
Female,I live by myself or with housemates.,DC,Home cooking,Keep fit through jogging or gym.,Walk or bike,10:00:00 AM,Heavy metal / rock,"Bluetooth speaker / headphones, Dog food / cat food, Yoga mat, Theater tickets",45-54
Female,I live by myself or with housemates.,DC,Home cooking,Keep fit through jogging or gym.,Walk or bike,9:15:00 AM,Heavy metal / rock,"Gardening or home improvement gear, Bluetooth speaker / headphones, Yoga mat, Theater tickets",25-34
Male,I live with my family.,DC,Mexican,Keep fit through jogging or gym.,Walk or bike,8:00:00 AM,Heavy metal / rock,"Bluetooth speaker / headphones, Dog food / cat food, Presents for my kids",35-44
Male,I live by myself or with housemates.,DC,Home cooking,I play team sports / run races.,Walk or bike,9:00:00 AM,Classical music,"Gardening or home improvement gear, Bluetooth speaker / headphones, Theater tickets",25-34
Female,I live with my family.,DC,Home cooking,Keep fit through jogging or gym.,Walk or bike,9:00:00 AM,Classical music,"Gardening or home improvement gear, Theater tickets",35-44
Female,I live by myself or with housemates.,DC,Mexican,I play team sports / run races.,Walk or bike,9:00:00 AM,Classical music,"Bluetooth speaker / headphones, Yoga mat",25-34
Male,I live by myself or with housemates.,DC,Mexican,Keep fit through jogging or gym.,Train,9:00:00 AM,Classical music,"Gardening or home improvement gear, Bluetooth speaker / headphones, Theater tickets",25-34
Male,I live with my family.,Virginia,Vegetarian,Keep fit through jogging or gym.,Train,9:00:00 AM,Classical music,"Gardening or home improvement gear, Theater tickets",55+
Female,I live with my family.,Virginia,Sushi,Netflix is my most strenuous exercise.,Car,8:45:00 AM,Heavy metal / rock,"Gardening or home improvement gear, Bluetooth speaker / headphones, Presents for my kids",25-34
Female,I live by myself or with housemates.,DC,Home cooking,Keep fit through jogging or gym.,Walk or bike,8:00:00 AM,Heavy metal / rock,Theater tickets,Under 25
Female,I live by myself or with housemates.,Virginia,Steak,Netflix is my most strenuous exercise.,Train,9:00:00 AM,Classical music,"Gardening or home improvement gear, Bluetooth speaker / headphones",25-34
Male,I live with my family.,Virginia,Home cooking,Keep fit through jogging or gym.,Train,9:30:00 AM,Heavy metal / rock,"Gardening or home improvement gear, Dog food / cat food, Presents for my kids, Theater tickets",45-54
Male,I live with my family.,DC,Sushi,I play team sports / run races.,Walk or bike,9:00:00 AM,Classical music,Theater tickets,25-34
Male,I live by myself or with housemates.,Virginia,Sushi,Keep fit through jogging or gym.,Train,9:00:00 AM,Classical music,Bluetooth speaker / headphones,25-34
Male,I live by myself or with housemates.,DC,Steak,Keep fit through jogging or gym.,Walk or bike,10:15:00 AM,Heavy metal / rock,"Gardening or home improvement gear, Bluetooth speaker / headphones, Theater tickets",35-44
Female,I live by myself or with housemates.,DC,Home cooking,Keep fit through jogging or gym.,Walk or bike,8:00:00 AM,Classical music,"Bluetooth speaker / headphones, Yoga mat, Theater tickets",25-34
Female,I live by myself or with housemates.,DC,Home cooking,Keep fit through jogging or gym.,Walk or bike,7:30:00 AM,Heavy metal / rock,Yoga mat,25-34
Female,I live by myself or with housemates.,DC,Vegetarian,Keep fit through jogging or gym.,Walk or bike,9:00:00 AM,Classical music,"Bluetooth speaker / headphones, Theater tickets",Under 25
Male,I live with my family.,Virginia,Vegetarian,Netflix is my most strenuous exercise.,Car,7:00:00 AM,Classical music,"Gardening or home improvement gear, Bluetooth speaker / headphones, Presents for my kids, Theater tickets",35-44
Male,I live with my family.,Virginia,Home cooking,Keep fit through jogging or gym.,Train,9:00:00 AM,Heavy metal / rock,"Bluetooth speaker / headphones, Yoga mat, Presents for my kids, Theater tickets",35-44
Male,I live by myself or with housemates.,DC,Home cooking,Keep fit through jogging or gym.,Walk or bike,9:15:00 AM,Classical music,"Gardening or home improvement gear, Bluetooth speaker / headphones, Theater tickets",25-34
Male,I live with my family.,Maryland,Home cooking,Keep fit through jogging or gym.,Train,8:30:00 AM,Classical music,"Bluetooth speaker / headphones, Presents for my kids, Theater tickets",35-44
Male,I live by myself or with housemates.,DC,Sushi,I play team sports / run races.,Train,9:00:00 AM,Heavy metal / rock,"Bluetooth speaker / headphones, Theater tickets",25-34
Male,I live by myself or with housemates.,DC,Mexican,Keep fit through jogging or gym.,Walk or bike,8:30:00 AM,Classical music,"Bluetooth speaker / headphones, Dog food / cat food, Theater tickets",25-34
Male,I live with my family.,Maryland,Home cooking,Keep fit through jogging or gym.,Train,9:15:00 AM,Classical music,"Gardening or home improvement gear, Bluetooth speaker / headphones, Presents for my kids, Theater tickets",35-44
Male,I live with my family.,Maryland,Steak,Netflix is my most strenuous exercise.,Train,9:00:00 AM,Heavy metal / rock,"Gardening or home improvement gear, Bluetooth speaker / headphones, Presents for my kids, Theater tickets",45-54
Female,I live by myself or with housemates.,DC,Vegetarian,Keep fit through jogging or gym.,Train,9:00:00 AM,Classical music,"Gardening or home improvement gear, Bluetooth speaker / headphones",25-34
Female,I live by myself or with housemates.,DC,Home cooking,Netflix is my most strenuous exercise.,Walk or bike,9:30:00 AM,Classical music,"Gardening or home improvement gear, Bluetooth speaker / headphones, Theater tickets",25-34
Female,I live with my family.,DC,Mexican,Keep fit through jogging or gym.,Train,8:40:00 AM,Heavy metal / rock,"Gardening or home improvement gear, Dog food / cat food, Theater tickets",25-34